pokedex_number,name,japanese_name,type1,type2,generation,is_legendary,height_m,weight_kg,speed,hp,attack,sp_attack,defense,sp_defense,egg_steps,happiness,base_total,capture_rate,experience,perc_male,against_bug,against_dragon,against_electric,against_fire,against_ice,against_poison,against_psychic,against_water,abilities
23,Ekans,Arboアーボ,poison,,1,no,2,6.9,55,35,60,40,44,54,5120,70,288,255,1000000,50,0.5,1,1,1,1,0.5,2,1,"['Intimidate', 'Shed Skin', 'Unnerve']"
24,Arbok,Arbokアーボック,poison,,1,no,3.5,65,80,60,95,65,69,79,5120,70,448,90,1000000,50,0.5,1,1,1,1,0.5,2,1,"['Intimidate', 'Shed Skin', 'Unnerve']"
25,Pikachu,Pikachuピカチュウ,electric,,1,no,0.4,6,90,35,55,50,40,50,2560,70,320,190,1000000,50,1,1,0.5,1,1,1,1,1,"['Static', 'Lightningrod']"
26,Raichu,Raichuライチュウ,electric,electric,1,no,,,110,60,85,95,50,85,2560,70,485,75,1000000,50,1,1,0.5,1,1,1,1,1,"['Static', 'Lightningrod', 'Surge Surfer']"
27,Sandshrew,Sandサンド,ground,ice,1,no,,,40,50,75,10,90,35,5120,70,300,255,1000000,50,1,1,0,1,2,0.5,1,2,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
28,Sandslash,Sandpanサンドパン,ground,ice,1,no,,,65,75,100,25,120,65,5120,70,450,90,1000000,50,1,1,0,1,2,0.5,1,2,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
29,Nidoran♀,Nidoran?ニドラン♀,poison,,1,no,0.4,7,41,55,47,40,52,40,5120,70,275,235,1059860,0,0.5,1,1,1,1,0.5,2,1,"['Poison Point', 'Rivalry', 'Hustle']"
30,Nidorina,Nidorinaニドリーナ,poison,,1,no,0.8,20,56,70,62,55,67,55,5120,70,365,120,1059860,0,0.5,1,1,1,1,0.5,2,1,"['Poison Point', 'Rivalry', 'Hustle']"
31,Nidoqueen,Nidoqueenニドクイン,poison,ground,1,no,1.3,60,76,90,92,75,87,85,5120,70,505,45,1059860,0,0.5,1,0,1,2,0.25,2,2,"['Poison Point', 'Rivalry', 'Sheer Force']"
32,Nidoran♂,Nidoran?ニドラン♂,poison,,1,no,0.5,9,50,46,57,40,40,40,5120,70,273,235,1059860,100,0.5,1,1,1,1,0.5,2,1,"['Poison Point', 'Rivalry', 'Hustle']"
33,Nidorino,Nidorinoニドリーノ,poison,,1,no,0.9,19.5,65,61,72,55,57,55,5120,70,365,120,1059860,100,0.5,1,1,1,1,0.5,2,1,"['Poison Point', 'Rivalry', 'Hustle']"
34,Nidoking,Nidokingニドキング,poison,ground,1,no,1.4,62,85,81,102,85,77,75,5120,70,505,45,1059860,100,0.5,1,0,1,2,0.25,2,2,"['Poison Point', 'Rivalry', 'Sheer Force']"
35,Clefairy,Pippiピッピ,fairy,,1,no,0.6,7.5,35,70,45,60,48,65,2560,140,323,150,800000,24.6,0.5,0,1,1,1,2,1,1,"['Cute Charm', 'Magic Guard', 'Friend Guard']"
36,Clefable,Pixyピクシー,fairy,,1,no,1.3,40,60,95,70,95,73,90,2560,140,483,25,800000,24.6,0.5,0,1,1,1,2,1,1,"['Cute Charm', 'Magic Guard', 'Unaware']"
37,Vulpix,Rokonロコン,fire,ice,1,no,,,65,38,41,50,40,65,5120,70,299,190,1000000,24.6,0.5,1,1,0.5,0.5,1,1,2,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
38,Ninetales,Kyukonキュウコン,fire,ice,1,no,,,109,73,67,81,75,100,5120,70,505,75,1000000,24.6,0.5,1,1,0.5,0.5,1,1,2,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
39,Jigglypuff,Purinプリン,normal,fairy,1,no,0.5,5.5,20,115,45,45,20,25,2560,70,270,170,800000,24.6,0.5,0,1,1,1,2,1,1,"['Cute Charm', 'Competitive', 'Friend Guard']"
40,Wigglytuff,Pukurinプクリン,normal,fairy,1,no,1,12,45,140,70,85,45,50,2560,70,435,50,800000,24.6,0.5,0,1,1,1,2,1,1,"['Cute Charm', 'Competitive', 'Frisk']"
41,Zubat,Zubatズバット,poison,flying,1,no,0.8,7.5,55,40,45,30,35,40,3840,70,245,255,1000000,50,0.25,1,2,1,2,0.5,2,1,"['Inner Focus', 'Infiltrator']"
42,Golbat,Golbatゴルバット,poison,flying,1,no,1.6,55,90,75,80,65,70,75,3840,70,455,90,1000000,50,0.25,1,2,1,2,0.5,2,1,"['Inner Focus', 'Infiltrator']"
43,Oddish,Nazonokusaナゾノクサ,grass,poison,1,no,0.5,5.4,30,45,50,75,55,65,5120,70,320,255,1059860,50,1,1,0.5,2,2,1,2,0.5,"['Chlorophyll', 'Run Away']"
44,Gloom,Kusaihanaクサイハナ,grass,poison,1,no,0.8,8.6,40,60,65,85,70,75,5120,70,395,120,1059860,50,1,1,0.5,2,2,1,2,0.5,"['Chlorophyll', 'Stench']"
45,Vileplume,Ruffresiaラフレシア,grass,poison,1,no,1.2,18.6,50,75,80,110,85,90,5120,70,490,45,1059860,50,1,1,0.5,2,2,1,2,0.5,"['Chlorophyll', 'Effect Spore']"
46,Paras,Parasパラス,bug,grass,1,no,0.3,5.4,25,35,70,45,55,55,5120,70,285,190,1000000,50,2,1,0.5,4,2,2,1,0.5,"['Effect Spore', 'Dry Skin', 'Damp']"
47,Parasect,Parasectパラセクト,bug,grass,1,no,1,29.5,30,60,95,60,80,80,5120,70,405,75,1000000,50,2,1,0.5,4,2,2,1,0.5,"['Effect Spore', 'Dry Skin', 'Damp']"
48,Venonat,Kongpangコンパン,bug,poison,1,no,1,30,45,60,55,40,50,55,5120,70,305,190,1000000,50,0.5,1,1,2,1,0.5,2,1,"['Compoundeyes', 'Tinted Lens', 'Run Away']"
49,Venomoth,Morphonモルフォン,bug,poison,1,no,1.5,12.5,90,70,65,90,60,75,5120,70,450,75,1000000,50,0.5,1,1,2,1,0.5,2,1,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']"
50,Diglett,Digdaディグダ,ground,ground,1,no,,,90,10,55,35,30,45,5120,70,265,255,1000000,50,1,1,0,1,2,0.5,1,2,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
51,Dugtrio,Dugtrioダグトリオ,ground,ground,1,no,,,110,35,100,50,60,70,5120,70,425,50,1000000,50,1,1,0,1,2,0.5,1,2,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
52,Meowth,Nyarthニャース,normal,dark,1,no,,,90,40,35,50,35,40,5120,70,290,255,1000000,50,1,1,1,1,1,1,1,1,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']"
53,Persian,Persianペルシアン,normal,dark,1,no,,,115,65,60,75,60,65,5120,70,440,90,1000000,50,1,1,1,1,1,1,1,1,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']"
54,Psyduck,Koduckコダック,water,,1,no,0.8,19.6,55,50,52,65,48,50,5120,70,320,190,1000000,50,1,1,2,0.5,0.5,1,1,0.5,"['Damp', 'Cloud Nine', 'Swift Swim']"
55,Golduck,Golduckゴルダック,water,,1,no,1.7,76.6,85,80,82,95,78,80,5120,70,500,75,1000000,50,1,1,2,0.5,0.5,1,1,0.5,"['Damp', 'Cloud Nine', 'Swift Swim']"
56,Mankey,Mankeyマンキー,fighting,,1,no,0.5,28,70,40,80,35,35,45,5120,70,305,190,1000000,50,0.5,1,1,1,1,1,2,1,"['Vital Spirit', 'Anger Point', 'Defiant']"
57,Primeape,Okorizaruオコリザル,fighting,,1,no,1,32,95,65,105,60,60,70,5120,70,455,75,1000000,50,0.5,1,1,1,1,1,2,1,"['Vital Spirit', 'Anger Point', 'Defiant']"
58,Growlithe,Gardieガーディ,fire,,1,no,0.7,19,60,55,70,70,45,50,5120,70,350,190,1250000,75.4,0.5,1,1,0.5,0.5,1,1,2,"['Intimidate', 'Flash Fire', 'Justified']"
59,Arcanine,Windieウインディ,fire,,1,no,1.9,155,95,90,110,100,80,80,5120,70,555,75,1250000,75.4,0.5,1,1,0.5,0.5,1,1,2,"['Intimidate', 'Flash Fire', 'Justified']"
60,Poliwag,Nyoromoニョロモ,water,,1,no,0.6,12.4,90,40,50,40,40,40,5120,70,300,255,1059860,50,1,1,2,0.5,0.5,1,1,0.5,"['Water Absorb', 'Damp', 'Swift Swim']"
61,Poliwhirl,Nyorozoニョロゾ,water,,1,no,1,20,90,65,65,50,65,50,5120,70,385,120,1059860,50,1,1,2,0.5,0.5,1,1,0.5,"['Water Absorb', 'Damp', 'Swift Swim']"
62,Poliwrath,Nyorobonニョロボン,water,fighting,1,no,1.3,54,70,90,95,70,95,90,5120,70,510,45,1059860,50,0.5,1,2,0.5,0.5,1,2,0.5,"['Water Absorb', 'Damp', 'Swift Swim']"
63,Abra,Caseyケーシィ,psychic,,1,no,0.9,19.5,90,25,20,105,15,55,5120,70,310,200,1059860,75.4,2,1,1,1,1,1,0.5,1,"['Synchronize', 'Inner Focus', 'Magic Guard']"
64,Kadabra,Yungererユンゲラー,psychic,,1,no,1.3,56.5,105,40,35,120,30,70,5120,70,400,100,1059860,75.4,2,1,1,1,1,1,0.5,1,"['Synchronize', 'Inner Focus', 'Magic Guard']"
65,Alakazam,Foodinフーディン,psychic,,1,no,1.5,48,150,55,50,175,65,105,5120,70,600,50,1059860,75.4,2,1,1,1,1,1,0.5,1,"['Synchronize', 'Inner Focus', 'Magic Guard']"
66,Machop,Wanrikyワンリキー,fighting,,1,no,0.8,19.5,35,70,80,35,50,35,5120,70,305,180,1059860,75.4,0.5,1,1,1,1,1,2,1,"['Guts', 'No Guard', 'Steadfast']"
67,Machoke,Gorikyゴーリキー,fighting,,1,no,1.5,70.5,45,80,100,50,70,60,5120,70,405,90,1059860,75.4,0.5,1,1,1,1,1,2,1,"['Guts', 'No Guard', 'Steadfast']"
68,Machamp,Kairikyカイリキー,fighting,,1,no,1.6,130,55,90,130,65,80,85,5120,70,505,45,1059860,75.4,0.5,1,1,1,1,1,2,1,"['Guts', 'No Guard', 'Steadfast']"
69,Bellsprout,Madatsubomiマダツボミ,grass,poison,1,no,0.7,4,40,50,75,70,35,30,5120,70,300,255,1059860,50,1,1,0.5,2,2,1,2,0.5,"['Chlorophyll', 'Gluttony']"
70,Weepinbell,Utsudonウツドン,grass,poison,1,no,1,6.4,55,65,90,85,50,45,5120,70,390,120,1059860,50,1,1,0.5,2,2,1,2,0.5,"['Chlorophyll', 'Gluttony']"
71,Victreebel,Utsubotウツボット,grass,poison,1,no,1.7,15.5,70,80,105,100,65,70,5120,70,490,45,1059860,50,1,1,0.5,2,2,1,2,0.5,"['Chlorophyll', 'Gluttony']"
72,Tentacool,Menokurageメノクラゲ,water,poison,1,no,0.9,45.5,70,40,40,50,35,100,5120,70,335,190,1250000,50,0.5,1,2,0.5,0.5,0.5,2,0.5,"['Clear Body', 'Liquid Ooze', 'Rain Dish']"
73,Tentacruel,Dokukurageドククラゲ,water,poison,1,no,1.6,55,100,80,70,80,65,120,5120,70,515,60,1250000,50,0.5,1,2,0.5,0.5,0.5,2,0.5,"['Clear Body', 'Liquid Ooze', 'Rain Dish']"
74,Geodude,Isitsubuteイシツブテ,rock,ground,1,no,,,20,40,80,30,100,30,3840,70,300,255,1059860,50,1,1,0,0.5,2,0.25,1,4,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
75,Graveler,Goloneゴローン,rock,ground,1,no,,,35,55,95,45,115,45,3840,70,390,120,1059860,50,1,1,0,0.5,2,0.25,1,4,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
76,Golem,Golonyaゴローニャ,rock,ground,1,no,,,45,80,120,55,130,65,3840,70,495,45,1059860,50,1,1,0,0.5,2,0.25,1,4,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
77,Ponyta,Ponytaポニータ,fire,,1,no,1,30,90,50,85,65,55,65,5120,70,410,190,1000000,50,0.5,1,1,0.5,0.5,1,1,2,"['Run Away', 'Flash Fire', 'Flame Body']"
78,Rapidash,Gallopギャロップ,fire,,1,no,1.7,95,105,65,100,80,70,80,5120,70,500,60,1000000,50,0.5,1,1,0.5,0.5,1,1,2,"['Run Away', 'Flash Fire', 'Flame Body']"
79,Slowpoke,Yadonヤドン,water,psychic,1,no,1.2,36,15,90,65,40,65,40,5120,70,315,190,1000000,50,2,1,2,0.5,0.5,1,0.5,0.5,"['Oblivious', 'Own Tempo', 'Regenerator']"
80,Slowbro,Yadoranヤドラン,water,psychic,1,no,1.6,78.5,30,95,75,130,180,80,5120,70,590,75,1000000,50,2,1,2,0.5,0.5,1,0.5,0.5,"['Oblivious', 'Own Tempo', 'Regenerator']"
81,Magnemite,Coilコイル,electric,steel,1,no,0.3,6,45,25,35,95,70,55,5120,70,325,190,1000000,,0.5,0.5,0.5,2,0.5,0,0.5,1,"['Magnet Pull', 'Sturdy', 'Analytic']"
82,Magneton,Rarecoilレアコイル,electric,steel,1,no,1,60,70,50,60,120,95,70,5120,70,465,60,1000000,,0.5,0.5,0.5,2,0.5,0,0.5,1,"['Magnet Pull', 'Sturdy', 'Analytic']"
83,Farfetch'd,Kamonegiカモネギ,normal,flying,1,no,0.8,15,60,52,90,58,55,62,5120,70,377,45,1000000,50,0.5,1,2,1,2,1,1,1,"['Keen Eye', 'Inner Focus', 'Defiant']"
84,Doduo,Dodoドードー,normal,flying,1,no,1.4,39.2,75,35,85,35,45,35,5120,70,310,190,1000000,50,0.5,1,2,1,2,1,1,1,"['Run Away', 'Early Bird', 'Tangled Feet']"
85,Dodrio,Dodorioドードリオ,normal,flying,1,no,1.8,85.2,110,60,110,60,70,60,5120,70,470,45,1000000,50,0.5,1,2,1,2,1,1,1,"['Run Away', 'Early Bird', 'Tangled Feet']"
86,Seel,Pawouパウワウ,water,,1,no,1.1,90,45,65,45,45,55,70,5120,70,325,190,1000000,50,1,1,2,0.5,0.5,1,1,0.5,"['Thick Fat', 'Hydration', 'Ice Body']"
87,Dewgong,Jugonジュゴン,water,ice,1,no,1.7,120,70,90,70,70,80,95,5120,70,475,75,1000000,50,1,1,2,1,0.25,1,1,0.5,"['Thick Fat', 'Hydration', 'Ice Body']"
88,Grimer,Betbeterベトベター,poison,poison,1,no,,,25,80,80,40,50,50,5120,70,325,190,1000000,50,0.5,1,1,1,1,0.5,2,1,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"
89,Muk,Betbetonベトベトン,poison,poison,1,no,,,50,105,105,65,75,100,5120,70,500,75,1000000,50,0.5,1,1,1,1,0.5,2,1,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"
90,Shellder,Shellderシェルダー,water,,1,no,0.3,4,40,30,65,45,100,25,5120,70,305,190,1250000,50,1,1,2,0.5,0.5,1,1,0.5,"['Shell Armor', 'Skill Link', 'Overcoat']"
91,Cloyster,Parshenパルシェン,water,ice,1,no,1.5,132.5,70,50,95,85,180,45,5120,70,525,60,1250000,50,1,1,2,1,0.25,1,1,0.5,"['Shell Armor', 'Skill Link', 'Overcoat']"
92,Gastly,Ghosゴース,ghost,poison,1,no,1.3,0.1,80,30,35,100,30,35,5120,70,310,190,1059860,50,0.25,1,1,1,1,0.25,2,1,['Levitate']
93,Haunter,Ghostゴースト,ghost,poison,1,no,1.6,0.1,95,45,50,115,45,55,5120,70,405,90,1059860,50,0.25,1,1,1,1,0.25,2,1,['Levitate']
94,Gengar,Gangarゲンガー,ghost,poison,1,no,1.5,40.5,130,60,65,170,80,95,5120,70,600,45,1059860,50,0.25,1,1,1,1,0.25,2,1,['Cursed Body']
95,Onix,Iwarkイワーク,rock,ground,1,no,8.8,210,70,35,45,30,160,45,6400,70,385,45,1000000,50,1,1,0,0.5,2,0.25,1,4,"['Rock Head', 'Sturdy', 'Weak Armor']"
96,Drowzee,Sleepeスリープ,psychic,,1,no,1,32.4,42,60,48,43,45,90,5120,70,328,190,1000000,50,2,1,1,1,1,1,0.5,1,"['Insomnia', 'Forewarn', 'Inner Focus']"
97,Hypno,Sleeperスリーパー,psychic,,1,no,1.6,75.6,67,85,73,73,70,115,5120,70,483,75,1000000,50,2,1,1,1,1,1,0.5,1,"['Insomnia', 'Forewarn', 'Inner Focus']"
98,Krabby,Crabクラブ,water,,1,no,0.4,6.5,50,30,105,25,90,25,5120,70,325,225,1000000,50,1,1,2,0.5,0.5,1,1,0.5,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"
99,Kingler,Kinglerキングラー,water,,1,no,1.3,60,75,55,130,50,115,50,5120,70,475,60,1000000,50,1,1,2,0.5,0.5,1,1,0.5,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"
100,Voltorb,Biriridamaビリリダマ,electric,,1,no,0.5,10.4,100,40,30,55,50,55,5120,70,330,190,1000000,,1,1,0.5,1,1,1,1,1,"['Soundproof', 'Static', 'Aftermath']"
101,Electrode,Marumineマルマイン,electric,,1,no,1.2,66.6,150,60,50,80,70,80,5120,70,490,60,1000000,,1,1,0.5,1,1,1,1,1,"['Soundproof', 'Static', 'Aftermath']"
102,Exeggcute,Tamatamaタマタマ,grass,psychic,1,no,0.4,2.5,40,60,40,60,80,45,5120,70,325,90,1250000,50,4,1,0.5,2,2,2,0.5,0.5,"['Chlorophyll', 'Harvest']"
103,Exeggutor,Nassyナッシー,grass,psychic,1,no,,,45,95,105,125,85,75,5120,70,530,45,1250000,50,4,1,0.5,2,2,2,0.5,0.5,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']"
104,Cubone,Karakaraカラカラ,ground,,1,no,0.4,6.5,35,50,50,40,95,50,5120,70,320,190,1000000,50,1,1,0,1,2,0.5,1,2,"['Rock Head', 'Lightningrod', 'Battle Armor']"
105,Marowak,Garagaraガラガラ,ground,fire,1,no,,,45,60,80,50,110,80,5120,70,425,75,1000000,50,1,1,0,1,2,0.5,1,2,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']"
106,Hitmonlee,Sawamularサワムラー,fighting,,1,no,1.5,49.8,87,50,120,35,53,110,6400,70,455,45,1000000,100,0.5,1,1,1,1,1,2,1,"['Limber', 'Reckless', 'Unburden']"
107,Hitmonchan,Ebiwalarエビワラー,fighting,,1,no,1.4,50.2,76,50,105,35,79,110,6400,70,455,45,1000000,100,0.5,1,1,1,1,1,2,1,"['Keen Eye', 'Iron Fist', 'Inner Focus']"
108,Lickitung,Beroringaベロリンガ,normal,,1,no,1.2,65.5,30,90,55,60,75,75,5120,70,385,45,1000000,50,1,1,1,1,1,1,1,1,"['Own Tempo', 'Oblivious', 'Cloud Nine']"
109,Koffing,Dogarsドガース,poison,,1,no,0.6,1,35,40,65,60,95,45,5120,70,340,190,1000000,50,0.5,1,1,1,1,0.5,2,1,['Levitate']
110,Weezing,Matadogasマタドガス,poison,,1,no,1.2,9.5,60,65,90,85,120,70,5120,70,490,60,1000000,50,0.5,1,1,1,1,0.5,2,1,['Levitate']
111,Rhyhorn,Sihornサイホーン,ground,rock,1,no,1,115,25,80,85,30,95,30,5120,70,345,120,1250000,50,1,1,0,0.5,2,0.25,1,4,"['Lightningrod', 'Rock Head', 'Reckless']"
112,Rhydon,Sidonサイドン,ground,rock,1,no,1.9,120,40,105,130,45,120,45,5120,70,485,60,1250000,50,1,1,0,0.5,2,0.25,1,4,"['Lightningrod', 'Rock Head', 'Reckless']"
113,Chansey,Luckyラッキー,normal,,1,no,1.1,34.6,50,250,5,35,5,105,10240,140,450,30,800000,0,1,1,1,1,1,1,1,1,"['Natural Cure', 'Serene Grace', 'Healer']"
114,Tangela,Monjaraモンジャラ,grass,,1,no,1,35,60,65,55,100,115,40,5120,70,435,45,1000000,50,2,1,0.5,2,2,2,1,0.5,"['Chlorophyll', 'Leaf Guard', 'Regenerator']"
115,Kangaskhan,Garuraガルーラ,normal,,1,no,2.2,80,100,105,125,60,100,100,5120,70,590,45,1000000,0,1,1,1,1,1,1,1,1,"['Early Bird', 'Scrappy', 'Inner Focus']"
116,Horsea,Tattuタッツー,water,,1,no,0.4,8,60,30,40,70,70,25,5120,70,295,225,1000000,50,1,1,2,0.5,0.5,1,1,0.5,"['Swift Swim', 'Sniper', 'Damp']"
117,Seadra,Seadraシードラ,water,,1,no,1.2,25,85,55,65,95,95,45,5120,70,440,75,1000000,50,1,1,2,0.5,0.5,1,1,0.5,"['Poison Point', 'Sniper', 'Damp']"
118,Goldeen,Tosakintoトサキント,water,,1,no,0.6,15,63,45,67,35,60,50,5120,70,320,225,1000000,50,1,1,2,0.5,0.5,1,1,0.5,"['Swift Swim', 'Water Veil', 'Lightningrod']"
119,Seaking,Azumaoアズマオウ,water,,1,no,1.3,39,68,80,92,65,65,80,5120,70,450,60,1000000,50,1,1,2,0.5,0.5,1,1,0.5,"['Swift Swim', 'Water Veil', 'Lightningrod']"
120,Staryu,Hitodemanヒトデマン,water,,1,no,0.8,34.5,85,30,45,70,55,55,5120,70,340,225,1250000,,1,1,2,0.5,0.5,1,1,0.5,"['Illuminate', 'Natural Cure', 'Analytic']"
121,Starmie,Starmieスターミー,water,psychic,1,no,1.1,80,115,60,75,100,85,85,5120,70,520,60,1250000,,2,1,2,0.5,0.5,1,0.5,0.5,"['Illuminate', 'Natural Cure', 'Analytic']"
122,Mr. Mime,Barrierdバリヤード,psychic,fairy,1,no,1.3,54.5,90,40,45,100,65,120,6400,70,460,45,1000000,50,1,0,1,1,1,2,0.5,1,"['Soundproof', 'Filter', 'Technician']"
123,Scyther,Strikeストライク,bug,flying,1,no,1.5,56,105,70,110,55,80,80,6400,70,500,45,1000000,50,0.5,1,2,2,2,1,1,1,"['Swarm', 'Technician', 'Steadfast']"
124,Jynx,Rougelaルージュラ,ice,psychic,1,no,1.4,40.6,95,65,50,115,35,95,6400,70,455,45,1000000,0,2,1,1,2,0.5,1,0.5,1,"['Oblivious', 'Forewarn', 'Dry Skin']"
125,Electabuzz,Elebooエレブー,electric,,1,no,1.1,30,105,65,83,95,57,85,6400,70,490,45,1000000,75.4,1,1,0.5,1,1,1,1,1,"['Static', 'Vital Spirit']"
126,Magmar,Booberブーバー,fire,,1,no,1.3,44.5,93,65,95,100,57,85,6400,70,495,45,1000000,75.4,0.5,1,1,0.5,0.5,1,1,2,"['Flame Body', 'Vital Spirit']"
127,Pinsir,Kailiosカイロス,bug,,1,no,1.5,55,105,65,155,65,120,90,6400,70,600,45,1250000,50,1,1,1,2,1,1,1,1,"['Hyper Cutter', 'Mold Breaker', 'Moxie']"
128,Tauros,Kentaurosケンタロス,normal,,1,no,1.4,88.4,110,75,100,40,95,70,5120,70,490,45,1250000,100,1,1,1,1,1,1,1,1,"['Intimidate', 'Anger Point', 'Sheer Force']"
