name,abilities,is_legendary,type
Goldeen,"['Swift Swim', 'Water Veil', 'Lightningrod']",no,water
Seaking,"['Swift Swim', 'Water Veil', 'Lightningrod']",no,water
Staryu,"['Illuminate', 'Natural Cure', 'Analytic']",no,water
Starmie,"['Illuminate', 'Natural Cure', 'Analytic']",no,water
Mr. Mime,"['Soundproof', 'Filter', 'Technician']",no,psychic
Scyther,"['Swarm', 'Technician', 'Steadfast']",no,bug
Jynx,"['Oblivious', 'Forewarn', 'Dry Skin']",no,ice
Electabuzz,"['Static', 'Vital Spirit']",no,electric
Magmar,"['Flame Body', 'Vital Spirit']",no,fire
Pinsir,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",no,bug
Tauros,"['Intimidate', 'Anger Point', 'Sheer Force']",no,normal
Magikarp,"['Swift Swim', 'Rattled']",no,water
Gyarados,"['Intimidate', 'Moxie']",no,water
Lapras,"['Water Absorb', 'Shell Armor', 'Hydration']",no,water
Ditto,"['Limber', 'Imposter']",no,normal
Eevee,"['Run Away', 'Adaptability', 'Anticipation']",no,normal
Vaporeon,"['Water Absorb', 'Hydration']",no,water
Jolteon,"['Volt Absorb', 'Quick Feet']",no,electric
Flareon,"['Flash Fire', 'Guts']",no,fire
Porygon,"['Trace', 'Download', 'Analytic']",no,normal
Omanyte,"['Swift Swim', 'Shell Armor', 'Weak Armor']",no,rock
Omastar,"['Swift Swim', 'Shell Armor', 'Weak Armor']",no,rock
Kabuto,"['Swift Swim', 'Battle Armor', 'Weak Armor']",no,rock
Kabutops,"['Swift Swim', 'Battle Armor', 'Weak Armor']",no,rock
Aerodactyl,"['Rock Head', 'Pressure', 'Unnerve']",no,rock
Snorlax,"['Immunity', 'Thick Fat', 'Gluttony']",no,normal
Articuno,"['Pressure', 'Snow Cloak']",yes,ice
Zapdos,"['Pressure', 'Static']",yes,electric
Moltres,"['Pressure', 'Flame Body']",yes,fire
Dratini,"['Shed Skin', 'Marvel Scale']",no,dragon
Dragonair,"['Shed Skin', 'Marvel Scale']",no,dragon
Dragonite,"['Inner Focus', 'Multiscale']",no,dragon
Mewtwo,"['Pressure', 'Unnerve']",yes,psychic
Mew,['Synchronize'],yes,psychic
Chikorita,"['Overgrow', 'Leaf Guard']",no,grass
Bayleef,"['Overgrow', 'Leaf Guard']",no,grass
Meganium,"['Overgrow', 'Leaf Guard']",no,grass
Cyndaquil,"['Blaze', 'Flash Fire']",no,fire
Quilava,"['Blaze', 'Flash Fire']",no,fire
Typhlosion,"['Blaze', 'Flash Fire']",no,fire
Totodile,"['Torrent', 'Sheer Force']",no,water
Croconaw,"['Torrent', 'Sheer Force']",no,water
Feraligatr,"['Torrent', 'Sheer Force']",no,water
Sentret,"['Run Away', 'Keen Eye', 'Frisk']",no,normal
Furret,"['Run Away', 'Keen Eye', 'Frisk']",no,normal
Hoothoot,"['Insomnia', 'Keen Eye', 'Tinted Lens']",no,normal
Noctowl,"['Insomnia', 'Keen Eye', 'Tinted Lens']",no,normal
Ledyba,"['Swarm', 'Early Bird', 'Rattled']",no,bug
Ledian,"['Swarm', 'Early Bird', 'Iron Fist']",no,bug
Spinarak,"['Swarm', 'Insomnia', 'Sniper']",no,bug
Ariados,"['Swarm', 'Insomnia', 'Sniper']",no,bug
Crobat,"['Inner Focus', 'Infiltrator']",no,poison
Chinchou,"['Volt Absorb', 'Illuminate', 'Water Absorb']",no,water
Lanturn,"['Volt Absorb', 'Illuminate', 'Water Absorb']",no,water
Pichu,"['Static', 'Lightningrod']",no,electric
Cleffa,"['Cute Charm', 'Magic Guard', 'Friend Guard']",no,fairy
Igglybuff,"['Cute Charm', 'Competitive', 'Friend Guard']",no,normal
Togepi,"['Hustle', 'Serene Grace', 'Super Luck']",no,fairy
Togetic,"['Hustle', 'Serene Grace', 'Super Luck']",no,fairy
Natu,"['Synchronize', 'Early Bird', 'Magic Bounce']",no,psychic
Xatu,"['Synchronize', 'Early Bird', 'Magic Bounce']",no,psychic
Mareep,"['Static', 'Plus']",no,electric
Flaaffy,"['Static', 'Plus']",no,electric
Ampharos,"['Static', 'Plus']",no,electric
Bellossom,"['Chlorophyll', 'Healer']",no,grass
Marill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",no,water
Azumarill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",no,water
Sudowoodo,"['Sturdy', 'Rock Head', 'Rattled']",no,rock
Politoed,"['Water Absorb', 'Damp', 'Drizzle']",no,water
Hoppip,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",no,grass
Skiploom,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",no,grass
Jumpluff,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",no,grass
Aipom,"['Run Away', 'Pickup', 'Skill Link']",no,normal
Sunkern,"['Chlorophyll', 'Solar Power', 'Early Bird']",no,grass
Sunflora,"['Chlorophyll', 'Solar Power', 'Early Bird']",no,grass
Yanma,"['Speed Boost', 'Compoundeyes', 'Frisk']",no,bug
Wooper,"['Damp', 'Water Absorb', 'Unaware']",no,water
Quagsire,"['Damp', 'Water Absorb', 'Unaware']",no,water
Espeon,"['Synchronize', 'Magic Bounce']",no,psychic
Umbreon,"['Synchronize', 'Inner Focus']",no,dark
Murkrow,"['Insomnia', 'Super Luck', 'Prankster']",no,dark
Slowking,"['Oblivious', 'Own Tempo', 'Regenerator']",no,water
Misdreavus,['Levitate'],no,ghost
Unown,['Levitate'],no,psychic
Wobbuffet,"['Shadow Tag', 'Telepathy']",no,psychic
Girafarig,"['Inner Focus', 'Early Bird', 'Sap Sipper']",no,normal
Pineco,"['Sturdy', 'Overcoat']",no,bug
Forretress,"['Sturdy', 'Overcoat']",no,bug
Dunsparce,"['Serene Grace', 'Run Away', 'Rattled']",no,normal
Gligar,"['Hyper Cutter', 'Sand Veil', 'Immunity']",no,ground
Steelix,"['Rock Head', 'Sturdy', 'Sheer Force']",no,steel
Snubbull,"['Intimidate', 'Run Away', 'Rattled']",no,fairy
Granbull,"['Intimidate', 'Quick Feet', 'Rattled']",no,fairy
Qwilfish,"['Poison Point', 'Swift Swim', 'Intimidate']",no,water
Scizor,"['Swarm', 'Technician', 'Light Metal']",no,bug
Shuckle,"['Sturdy', 'Gluttony', 'Contrary']",no,bug
Heracross,"['Swarm', 'Guts', 'Moxie']",no,bug
Sneasel,"['Inner Focus', 'Keen Eye', 'Pickpocket']",no,dark
Teddiursa,"['Pickup', 'Quick Feet', 'Honey Gather']",no,normal
Ursaring,"['Guts', 'Quick Feet', 'Unnerve']",no,normal
Slugma,"['Magma Armor', 'Flame Body', 'Weak Armor']",no,fire
Magcargo,"['Magma Armor', 'Flame Body', 'Weak Armor']",no,fire
Swinub,"['Oblivious', 'Snow Cloak', 'Thick Fat']",no,ice
Piloswine,"['Oblivious', 'Snow Cloak', 'Thick Fat']",no,ice
Corsola,"['Hustle', 'Natural Cure', 'Regenerator']",no,water
Remoraid,"['Hustle', 'Sniper', 'Moody']",no,water
Octillery,"['Suction Cups', 'Sniper', 'Moody']",no,water
Delibird,"['Vital Spirit', 'Hustle', 'Insomnia']",no,ice
Mantine,"['Swift Swim', 'Water Absorb', 'Water Veil']",no,water
Skarmory,"['Keen Eye', 'Sturdy', 'Weak Armor']",no,steel
Houndour,"['Early Bird', 'Flash Fire', 'Unnerve']",no,dark
Houndoom,"['Early Bird', 'Flash Fire', 'Unnerve']",no,dark
Kingdra,"['Swift Swim', 'Sniper', 'Damp']",no,water
Phanpy,"['Pickup', 'Sand Veil']",no,ground
Donphan,"['Sturdy', 'Sand Veil']",no,ground
Porygon2,"['Trace', 'Download', 'Analytic']",no,normal
Stantler,"['Intimidate', 'Frisk', 'Sap Sipper']",no,normal
Smeargle,"['Own Tempo', 'Technician', 'Moody']",no,normal
Tyrogue,"['Guts', 'Steadfast', 'Vital Spirit']",no,fighting
Hitmontop,"['Intimidate', 'Technician', 'Steadfast']",no,fighting
Smoochum,"['Oblivious', 'Forewarn', 'Hydration']",no,ice
Elekid,"['Static', 'Vital Spirit']",no,electric
Magby,"['Flame Body', 'Vital Spirit']",no,fire
Miltank,"['Thick Fat', 'Scrappy', 'Sap Sipper']",no,normal
Blissey,"['Natural Cure', 'Serene Grace', 'Healer']",no,normal
Raikou,"['Pressure', 'Inner Focus']",yes,electric
Entei,"['Pressure', 'Inner Focus']",yes,fire
Suicune,"['Pressure', 'Inner Focus']",yes,water
Larvitar,"['Guts', 'Sand Veil']",no,rock
Pupitar,['Shed Skin'],no,rock
Tyranitar,"['Sand Stream', 'Unnerve']",no,rock
Lugia,"['Pressure', 'Multiscale']",yes,psychic
Ho-Oh,"['Pressure', 'Regenerator']",yes,fire
Celebi,['Natural Cure'],yes,psychic
Treecko,"['Overgrow', 'Unburden']",no,grass
Grovyle,"['Overgrow', 'Unburden']",no,grass
Sceptile,"['Overgrow', 'Unburden']",no,grass
Torchic,"['Blaze', 'Speed Boost']",no,fire
Combusken,"['Blaze', 'Speed Boost']",no,fire
Blaziken,"['Blaze', 'Speed Boost']",no,fire
Mudkip,"['Torrent', 'Damp']",no,water
Marshtomp,"['Torrent', 'Damp']",no,water
Swampert,"['Torrent', 'Damp']",no,water
Poochyena,"['Run Away', 'Quick Feet', 'Rattled']",no,dark
Mightyena,"['Intimidate', 'Quick Feet', 'Moxie']",no,dark
Zigzagoon,"['Pickup', 'Gluttony', 'Quick Feet']",no,normal
Linoone,"['Pickup', 'Gluttony', 'Quick Feet']",no,normal
Wurmple,"['Shield Dust', 'Run Away']",no,bug
Silcoon,['Shed Skin'],no,bug
Beautifly,"['Swarm', 'Rivalry']",no,bug
Cascoon,['Shed Skin'],no,bug
Dustox,"['Shield Dust', 'Compoundeyes']",no,bug
Lotad,"['Swift Swim', 'Rain Dish', 'Own Tempo']",no,water
Lombre,"['Swift Swim', 'Rain Dish', 'Own Tempo']",no,water
Ludicolo,"['Swift Swim', 'Rain Dish', 'Own Tempo']",no,water
Seedot,"['Chlorophyll', 'Early Bird', 'Pickpocket']",no,grass
Nuzleaf,"['Chlorophyll', 'Early Bird', 'Pickpocket']",no,grass
Shiftry,"['Chlorophyll', 'Early Bird', 'Pickpocket']",no,grass
Taillow,"['Guts', 'Scrappy']",no,normal
Swellow,"['Guts', 'Scrappy']",no,normal
Wingull,"['Keen Eye', 'Hydration', 'Rain Dish']",no,water
Pelipper,"['Keen Eye', 'Drizzle', 'Rain Dish']",no,water
Ralts,"['Synchronize', 'Trace', 'Telepathy']",no,psychic
Kirlia,"['Synchronize', 'Trace', 'Telepathy']",no,psychic
Gardevoir,"['Synchronize', 'Trace', 'Telepathy']",no,psychic
Surskit,"['Swift Swim', 'Rain Dish']",no,bug
Masquerain,"['Intimidate', 'Unnerve']",no,bug
Shroomish,"['Effect Spore', 'Poison Heal', 'Quick Feet']",no,grass
Breloom,"['Effect Spore', 'Poison Heal', 'Technician']",no,grass
Slakoth,['Truant'],no,normal
Vigoroth,['Vital Spirit'],no,normal
Slaking,['Truant'],no,normal
Nincada,"['Compoundeyes', 'Run Away']",no,bug
Ninjask,"['Speed Boost', 'Infiltrator']",no,bug
Shedinja,['Wonder Guard'],no,bug
Whismur,"['Soundproof', 'Rattled']",no,normal
Loudred,"['Soundproof', 'Scrappy']",no,normal
Exploud,"['Soundproof', 'Scrappy']",no,normal
Makuhita,"['Thick Fat', 'Guts', 'Sheer Force']",no,fighting
Hariyama,"['Thick Fat', 'Guts', 'Sheer Force']",no,fighting
Azurill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",no,normal
Nosepass,"['Sturdy', 'Magnet Pull', 'Sand Force']",no,rock
Skitty,"['Cute Charm', 'Normalize', 'Wonder Skin ']",no,normal
Delcatty,"['Cute Charm', 'Normalize', 'Wonder Skin ']",no,normal
Sableye,"['Keen Eye', 'Stall', 'Prankster']",no,dark
Mawile,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",no,steel
Aron,"['Sturdy', 'Rock Head', 'Heavy Metal']",no,steel
Lairon,"['Sturdy', 'Rock Head', 'Heavy Metal']",no,steel
Aggron,"['Sturdy', 'Rock Head', 'Heavy Metal']",no,steel
Meditite,"['Pure Power', 'Telepathy']",no,fighting
Medicham,"['Pure Power', 'Telepathy']",no,fighting
Electrike,"['Static', 'Lightningrod', 'Minus']",no,electric
Manectric,"['Static', 'Lightningrod', 'Minus']",no,electric
Plusle,"['Plus', 'Lightningrod']",no,electric
Minun,"['Minus', 'Volt Absorb']",no,electric
Volbeat,"['Illuminate', 'Swarm', 'Prankster']",no,bug
Illumise,"['Oblivious', 'Tinted Lens', 'Prankster']",no,bug
Roselia,"['Natural Cure', 'Poison Point', 'Leaf Guard']",no,grass
Gulpin,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",no,poison
Swalot,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",no,poison
Carvanha,"['Rough Skin', 'Speed Boost']",no,water
Sharpedo,"['Rough Skin', 'Speed Boost']",no,water
Wailmer,"['Water Veil', 'Oblivious', 'Pressure']",no,water
Wailord,"['Water Veil', 'Oblivious', 'Pressure']",no,water
Numel,"['Oblivious', 'Simple', 'Own Tempo']",no,fire
Camerupt,"['Magma Armor', 'Solid Rock', 'Anger Point']",no,fire
Torkoal,"['White Smoke', 'Drought', 'Shell Armor']",no,fire
Spoink,"['Thick Fat', 'Own Tempo', 'Gluttony']",no,psychic
Grumpig,"['Thick Fat', 'Own Tempo', 'Gluttony']",no,psychic
Spinda,"['Own Tempo', 'Tangled Feet', 'Contrary']",no,normal
Trapinch,"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",no,ground
Vibrava,['Levitate'],no,ground
Flygon,['Levitate'],no,ground
Cacnea,"['Sand Veil', 'Water Absorb']",no,grass
Cacturne,"['Sand Veil', 'Water Absorb']",no,grass
Swablu,"['Natural Cure', 'Cloud Nine']",no,normal
Altaria,"['Natural Cure', 'Cloud Nine']",no,dragon
Zangoose,"['Immunity', 'Toxic Boost']",no,normal
Seviper,"['Shed Skin', 'Infiltrator']",no,poison
Lunatone,['Levitate'],no,rock
Solrock,['Levitate'],no,rock
Barboach,"['Oblivious', 'Anticipation', 'Hydration']",no,water
Whiscash,"['Oblivious', 'Anticipation', 'Hydration']",no,water
Corphish,"['Hyper Cutter', 'Shell Armor', 'Adaptability']",no,water
Crawdaunt,"['Hyper Cutter', 'Shell Armor', 'Adaptability']",no,water
Baltoy,['Levitate'],no,ground
Claydol,['Levitate'],no,ground
Lileep,"['Suction Cups', 'Storm Drain']",no,rock
Cradily,"['Suction Cups', 'Storm Drain']",no,rock
Anorith,"['Battle Armor', 'Swift Swim']",no,rock
Armaldo,"['Battle Armor', 'Swift Swim']",no,rock
Feebas,"['Swift Swim', 'Oblivious', 'Adaptability']",no,water
Milotic,"['Marvel Scale', 'Competitive', 'Cute Charm']",no,water
Castform,['Forecast'],no,normal
Kecleon,"['Color Change', 'Protean']",no,normal
Shuppet,"['Insomnia', 'Frisk', 'Cursed Body']",no,ghost
Banette,"['Insomnia', 'Frisk', 'Cursed Body']",no,ghost
Duskull,"['Levitate', 'Frisk']",no,ghost
Dusclops,"['Pressure', 'Frisk']",no,ghost
Tropius,"['Chlorophyll', 'Solar Power', 'Harvest']",no,grass
Chimecho,['Levitate'],no,psychic
Absol,"['Pressure', 'Super Luck', 'Justified']",no,dark
Wynaut,"['Shadow Tag', 'Telepathy']",no,psychic
Snorunt,"['Inner Focus', 'Ice Body', 'Moody']",no,ice
Glalie,"['Inner Focus', 'Ice Body', 'Moody']",no,ice
Spheal,"['Thick Fat', 'Ice Body', 'Oblivious']",no,ice
Sealeo,"['Thick Fat', 'Ice Body', 'Oblivious']",no,ice
Walrein,"['Thick Fat', 'Ice Body', 'Oblivious']",no,ice
Clamperl,"['Shell Armor', 'Rattled']",no,water
Huntail,"['Swift Swim', 'Water Veil']",no,water
Gorebyss,"['Swift Swim', 'Hydration']",no,water
Relicanth,"['Swift Swim', 'Rock Head', 'Sturdy']",no,water
Luvdisc,"['Swift Swim', 'Hydration']",no,water
Bagon,"['Rock Head', 'Sheer Force']",no,dragon
Shelgon,"['Rock Head', 'Overcoat']",no,dragon
Salamence,"['Intimidate', 'Moxie']",no,dragon
Beldum,"['Clear Body', 'Light Metal']",no,steel
Metang,"['Clear Body', 'Light Metal']",no,steel
Metagross,"['Clear Body', 'Light Metal']",no,steel
Regirock,"['Clear Body', 'Sturdy']",yes,rock
Regice,"['Clear Body', 'Ice Body']",yes,ice
Registeel,"['Clear Body', 'Light Metal']",yes,steel
Latias,['Levitate'],yes,dragon
Latios,['Levitate'],yes,dragon
Kyogre,['Drizzle'],yes,water
Groudon,['Drought'],yes,ground
Rayquaza,['Air Lock'],yes,dragon
Jirachi,['Serene Grace'],yes,steel
Deoxys,['Pressure'],yes,psychic
Turtwig,"['Overgrow', 'Shell Armor']",no,grass
Grotle,"['Overgrow', 'Shell Armor']",no,grass
Torterra,"['Overgrow', 'Shell Armor']",no,grass
Chimchar,"['Blaze', 'Iron Fist']",no,fire
Monferno,"['Blaze', 'Iron Fist']",no,fire
Infernape,"['Blaze', 'Iron Fist']",no,fire
Piplup,"['Torrent', 'Defiant']",no,water
Prinplup,"['Torrent', 'Defiant']",no,water
Empoleon,"['Torrent', 'Defiant']",no,water
Starly,"['Keen Eye', 'Reckless']",no,normal
Staravia,"['Intimidate', 'Reckless']",no,normal
Staraptor,"['Intimidate', 'Reckless']",no,normal
Bidoof,"['Simple', 'Unaware', 'Moody']",no,normal
Bibarel,"['Simple', 'Unaware', 'Moody']",no,normal
Kricketot,"['Shed Skin', 'Run Away']",no,bug
Kricketune,"['Swarm', 'Technician']",no,bug
Shinx,"['Rivalry', 'Intimidate', 'Guts']",no,electric
Luxio,"['Rivalry', 'Intimidate', 'Guts']",no,electric
Luxray,"['Rivalry', 'Intimidate', 'Guts']",no,electric
Budew,"['Natural Cure', 'Poison Point', 'Leaf Guard']",no,grass
Roserade,"['Natural Cure', 'Poison Point', 'Technician']",no,grass
Cranidos,"['Mold Breaker', 'Sheer Force']",no,rock
Rampardos,"['Mold Breaker', 'Sheer Force']",no,rock
Shieldon,"['Sturdy', 'Soundproof']",no,rock
Bastiodon,"['Sturdy', 'Soundproof']",no,rock
Burmy,"['Shed Skin', 'Overcoat']",no,bug
Wormadam,"['Anticipation', 'Overcoat']",no,bug
Mothim,"['Swarm', 'Tinted Lens']",no,bug
Combee,"['Honey Gather', 'Hustle']",no,bug
Vespiquen,"['Pressure', 'Unnerve']",no,bug
Pachirisu,"['Run Away', 'Pickup', 'Volt Absorb']",no,electric
Buizel,"['Swift Swim', 'Water Veil']",no,water
Floatzel,"['Swift Swim', 'Water Veil']",no,water
Cherubi,['Chlorophyll'],no,grass
Cherrim,['Flower Gift'],no,grass
Shellos,"['Sticky Hold', 'Storm Drain', 'Sand Force']",no,water
Gastrodon,"['Sticky Hold', 'Storm Drain', 'Sand Force']",no,water
Ambipom,"['Technician', 'Pickup', 'Skill Link']",no,normal
Drifloon,"['Aftermath', 'Unburden', 'Flare Boost']",no,ghost
Drifblim,"['Aftermath', 'Unburden', 'Flare Boost']",no,ghost
Buneary,"['Run Away', 'Klutz', 'Limber']",no,normal
Lopunny,"['Cute Charm', 'Klutz', 'Limber']",no,normal
Mismagius,['Levitate'],no,ghost
Honchkrow,"['Insomnia', 'Super Luck', 'Moxie']",no,dark
Glameow,"['Limber', 'Own Tempo', 'Keen Eye']",no,normal
Purugly,"['Thick Fat', 'Own Tempo', 'Defiant']",no,normal
Chingling,['Levitate'],no,psychic
Stunky,"['Stench', 'Aftermath', 'Keen Eye']",no,poison
Skuntank,"['Stench', 'Aftermath', 'Keen Eye']",no,poison
Bronzor,"['Levitate', 'Heatproof', 'Heavy Metal']",no,steel
Bronzong,"['Levitate', 'Heatproof', 'Heavy Metal']",no,steel
Bonsly,"['Sturdy', 'Rock Head', 'Rattled']",no,rock
Mime Jr.,"['Soundproof', 'Filter', 'Technician']",no,psychic
Happiny,"['Natural Cure', 'Serene Grace', 'Friend Guard']",no,normal
Chatot,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",no,normal
Spiritomb,"['Pressure', 'Infiltrator']",no,ghost
Gible,"['Sand Veil', 'Rough Skin']",no,dragon
Gabite,"['Sand Veil', 'Rough Skin']",no,dragon
Garchomp,"['Sand Veil', 'Rough Skin']",no,dragon
Munchlax,"['Pickup', 'Thick Fat', 'Gluttony']",no,normal
Riolu,"['Steadfast', 'Inner Focus', 'Prankster']",no,fighting
Lucario,"['Steadfast', 'Inner Focus', 'Justified']",no,fighting
Hippopotas,"['Sand Stream', 'Sand Force']",no,ground
Hippowdon,"['Sand Stream', 'Sand Force']",no,ground
Skorupi,"['Battle Armor', 'Sniper', 'Keen Eye']",no,poison
Drapion,"['Battle Armor', 'Sniper', 'Keen Eye']",no,poison
Croagunk,"['Anticipation', 'Dry Skin', 'Poison Touch']",no,poison
Toxicroak,"['Anticipation', 'Dry Skin', 'Poison Touch']",no,poison
Carnivine,['Levitate'],no,grass
Finneon,"['Swift Swim', 'Storm Drain', 'Water Veil']",no,water
Lumineon,"['Swift Swim', 'Storm Drain', 'Water Veil']",no,water
