"Model","MPG","Displacement","Class","Cylinders"
"ford mustang 1999",25,3.8,"subcompact","6Cyl"
"ford mustang 2008",26,4,"subcompact","6Cyl"
"ford mustang 2008",24,4,"subcompact","6Cyl"
"ford mustang 1999",21,4.6,"subcompact","8Cyl"
"ford mustang 1999",22,4.6,"subcompact","8Cyl"
"ford mustang 2008",23,4.6,"subcompact","8Cyl"
"ford mustang 2008",22,4.6,"subcompact","8Cyl"
"ford mustang 2008",20,5.4,"subcompact","8Cyl"
"honda civic 1999",33,1.6,"subcompact","4Cyl"
"honda civic 1999",32,1.6,"subcompact","4Cyl"
"honda civic 1999",29,1.6,"subcompact","4Cyl"
"honda civic 2008",34,1.8,"subcompact","4Cyl"
"honda civic 2008",36,1.8,"subcompact","4Cyl"
"honda civic 2008",29,2,"subcompact","4Cyl"
"hyundai sonata 1999",26,2.4,"midsize","4Cyl"
"hyundai sonata 1999",27,2.4,"midsize","4Cyl"
"hyundai sonata 2008",30,2.4,"midsize","4Cyl"
"hyundai sonata 2008",31,2.4,"midsize","4Cyl"
"hyundai sonata 1999",26,2.5,"midsize","6Cyl"
"hyundai sonata 2008",28,3.3,"midsize","6Cyl"
"hyundai tiburon 1999",26,2,"subcompact","4Cyl"
"hyundai tiburon 1999",29,2,"subcompact","4Cyl"
"hyundai tiburon 2008",28,2,"subcompact","4Cyl"
"hyundai tiburon 2008",27,2,"subcompact","4Cyl"
"hyundai tiburon 2008",24,2.7,"subcompact","6Cyl"
"jeep grand cherokee 4wd 2008",22,3,"suv","6Cyl"
"jeep grand cherokee 4wd 2008",19,3.7,"suv","6Cyl"
"jeep grand cherokee 4wd 1999",20,4,"suv","6Cyl"
"jeep grand cherokee 4wd 1999",17,4.7,"suv","8Cyl"
"jeep grand cherokee 4wd 2008",12,4.7,"suv","8Cyl"
"jeep grand cherokee 4wd 2008",19,4.7,"suv","8Cyl"
"jeep grand cherokee 4wd 2008",18,5.7,"suv","8Cyl"
"jeep grand cherokee 4wd 2008",14,6.1,"suv","8Cyl"
"land rover range rover 1999",15,4,"suv","8Cyl"
"land rover range rover 2008",18,4.2,"suv","8Cyl"
"land rover range rover 2008",18,4.4,"suv","8Cyl"
"land rover range rover 1999",15,4.6,"suv","8Cyl"
"lincoln navigator 2wd 1999",17,5.4,"suv","8Cyl"
"lincoln navigator 2wd 1999",16,5.4,"suv","8Cyl"
"lincoln navigator 2wd 2008",18,5.4,"suv","8Cyl"
"mercury mountaineer 4wd 1999",17,4,"suv","6Cyl"
"mercury mountaineer 4wd 2008",19,4,"suv","6Cyl"
"mercury mountaineer 4wd 2008",19,4.6,"suv","8Cyl"
"mercury mountaineer 4wd 1999",17,5,"suv","8Cyl"
"nissan altima 1999",29,2.4,"compact","4Cyl"
"nissan altima 1999",27,2.4,"compact","4Cyl"
"nissan altima 2008",31,2.5,"midsize","4Cyl"
"nissan altima 2008",32,2.5,"midsize","4Cyl"
"nissan altima 2008",27,3.5,"midsize","6Cyl"
"nissan altima 2008",26,3.5,"midsize","6Cyl"
"nissan maxima 1999",26,3,"midsize","6Cyl"
"nissan maxima 1999",25,3,"midsize","6Cyl"
"nissan maxima 2008",25,3.5,"midsize","6Cyl"
"nissan pathfinder 4wd 1999",17,3.3,"suv","6Cyl"
"nissan pathfinder 4wd 2008",20,4,"suv","6Cyl"
"nissan pathfinder 4wd 2008",18,5.6,"suv","8Cyl"
"pontiac grand prix 1999",26,3.1,"midsize","6Cyl"
"pontiac grand prix 1999",26,3.8,"midsize","6Cyl"
"pontiac grand prix 1999",27,3.8,"midsize","6Cyl"
"pontiac grand prix 2008",28,3.8,"midsize","6Cyl"
"pontiac grand prix 2008",25,5.3,"midsize","8Cyl"
"subaru forester awd 1999",25,2.5,"suv","4Cyl"
"subaru forester awd 1999",24,2.5,"suv","4Cyl"
"subaru forester awd 2008",27,2.5,"suv","4Cyl"
"subaru forester awd 2008",25,2.5,"suv","4Cyl"
"subaru forester awd 2008",26,2.5,"suv","4Cyl"
"subaru forester awd 2008",23,2.5,"suv","4Cyl"
"subaru impreza awd 1999",26,2.2,"subcompact","4Cyl"
"subaru impreza awd 1999",26,2.5,"subcompact","4Cyl"
"subaru impreza awd 2008",25,2.5,"compact","4Cyl"
"subaru impreza awd 2008",27,2.5,"compact","4Cyl"
"toyota 4runner 4wd 1999",20,2.7,"suv","4Cyl"
"toyota 4runner 4wd 1999",19,3.4,"suv","6Cyl"
"toyota 4runner 4wd 1999",17,3.4,"suv","6Cyl"
"toyota 4runner 4wd 2008",20,4,"suv","6Cyl"
"toyota 4runner 4wd 2008",17,4.7,"suv","8Cyl"
"toyota camry 1999",29,2.2,"midsize","4Cyl"
"toyota camry 1999",27,2.2,"midsize","4Cyl"
"toyota camry 2008",31,2.4,"midsize","4Cyl"
"toyota camry 1999",26,3,"midsize","6Cyl"
"toyota camry 2008",28,3.5,"midsize","6Cyl"
"toyota camry solara 1999",27,2.2,"compact","4Cyl"
"toyota camry solara 1999",29,2.2,"compact","4Cyl"
"toyota camry solara 2008",31,2.4,"compact","4Cyl"
"toyota camry solara 1999",26,3,"compact","6Cyl"
"toyota camry solara 2008",27,3.3,"compact","6Cyl"
"toyota corolla 1999",30,1.8,"compact","4Cyl"
"toyota corolla 1999",33,1.8,"compact","4Cyl"
"toyota corolla 1999",35,1.8,"compact","4Cyl"
"toyota corolla 2008",37,1.8,"compact","4Cyl"
"toyota corolla 2008",35,1.8,"compact","4Cyl"
"toyota land cruiser wagon 4wd 1999",15,4.7,"suv","8Cyl"
"toyota land cruiser wagon 4wd 2008",18,5.7,"suv","8Cyl"
"toyota toyota tacoma 4wd 1999",20,2.7,"pickup","4Cyl"
"toyota toyota tacoma 4wd 2008",22,2.7,"pickup","4Cyl"
"toyota toyota tacoma 4wd 1999",17,3.4,"pickup","6Cyl"
"toyota toyota tacoma 4wd 1999",19,3.4,"pickup","6Cyl"
"toyota toyota tacoma 4wd 2008",18,4,"pickup","6Cyl"
"toyota toyota tacoma 4wd 2008",20,4,"pickup","6Cyl"
"volkswagen gti 1999",29,2,"compact","4Cyl"
"volkswagen gti 1999",26,2,"compact","4Cyl"
"volkswagen gti 2008",29,2,"compact","4Cyl"
"volkswagen gti 1999",24,2.8,"compact","6Cyl"
"volkswagen jetta 1999",44,1.9,"compact","4Cyl"
"volkswagen jetta 1999",29,2,"compact","4Cyl"
"volkswagen jetta 1999",26,2,"compact","4Cyl"
"volkswagen jetta 2008",29,2,"compact","4Cyl"
"volkswagen jetta 2008",29,2.5,"compact","5Cyl"
"volkswagen jetta 1999",23,2.8,"compact","6Cyl"
"volkswagen jetta 1999",24,2.8,"compact","6Cyl"
"volkswagen new beetle 1999",44,1.9,"subcompact","4Cyl"
"volkswagen new beetle 1999",41,1.9,"subcompact","4Cyl"
"volkswagen new beetle 1999",29,2,"subcompact","4Cyl"
"volkswagen new beetle 1999",26,2,"subcompact","4Cyl"
"volkswagen new beetle 2008",28,2.5,"subcompact","5Cyl"
"volkswagen new beetle 2008",29,2.5,"subcompact","5Cyl"
"volkswagen passat 1999",29,1.8,"midsize","4Cyl"
"volkswagen passat 2008",28,2,"midsize","4Cyl"
"volkswagen passat 2008",29,2,"midsize","4Cyl"
"volkswagen passat 1999",26,2.8,"midsize","6Cyl"
"volkswagen passat 2008",26,3.6,"midsize","6Cyl"
